ip,hostname,domain
204.232.231.46,host1,hk.johnsonelectric.com
205.171.2.25,host2,us.johnsonelectric.com
98.149.55.63,host3,pl.johnsonelectric.com
212.48.10.58,host4,cn.johnsonelectric.com
8.8.8.8,host5,rs.johnsonelectric.com
62.211.68.12,host6,it.johnsonelectric.com
50.19.102.116,host7,de.johnsonelectric.com
65.55.223.19,host8,my.johnsonelectric.com
65.55.223.24,host9,br.johnsonelectric.com
78.159.99.224,host10,in.johnsonelectric.com
65.55.223.31,host11,hk.johnsonelectric.com
8.5.1.1,host12,us.johnsonelectric.com
192.168.0.1,host13,pl.johnsonelectric.com
69.43.161.167,host14,cn.johnsonelectric.com
82.98.86.177,host1,rs.johnsonelectric.com
89.111.176.67,host2,it.johnsonelectric.com
202.31.187.154,host3,de.johnsonelectric.com
208.43.167.112,host4,my.johnsonelectric.com
70.86.17.130,host5,br.johnsonelectric.com
8.5.1.6,host6,in.johnsonelectric.com
208.73.210.29,host7,hk.johnsonelectric.com
65.55.223.25,host8,us.johnsonelectric.com
65.55.223.28,host9,pl.johnsonelectric.com
213.202.225.39,host10,cn.johnsonelectric.com
69.43.161.182,host11,rs.johnsonelectric.com
69.43.161.163,host12,it.johnsonelectric.com
65.55.223.21,host13,de.johnsonelectric.com
65.55.223.13,host14,my.johnsonelectric.com
213.229.65.70,host1,br.johnsonelectric.com
80.109.240.72,host2,in.johnsonelectric.com
17.254.32.16,host3,hk.johnsonelectric.com
208.91.197.134,host4,us.johnsonelectric.com
92.63.101.215,host5,pl.johnsonelectric.com
216.150.214.58,host6,cn.johnsonelectric.com
174.120.244.229,host7,rs.johnsonelectric.com
8.5.1.41,host8,it.johnsonelectric.com
108.61.3.67,host9,de.johnsonelectric.com
69.43.161.152,host10,my.johnsonelectric.com
141.8.224.72,host11,br.johnsonelectric.com
64.71.166.44,host12,in.johnsonelectric.com
81.88.48.83,host13,hk.johnsonelectric.com
50.18.123.164,host14,us.johnsonelectric.com
192.168.0.2,host1,pl.johnsonelectric.com
69.43.161.155,host2,cn.johnsonelectric.com
72.232.229.50,host3,rs.johnsonelectric.com
